Record type,Claim or observation,Source,As of,Qualification,Permitted use,Owner
Spur fact,Free claim review is offered,https://www.spurauto.com/free-review.html,2026-07-18,No payment information is collected on the form,Visible ads and landing page,Spur Auto
Spur fact,Essential report starts at $99,https://www.spurauto.com/pricing.html,2026-07-18,Price can change; recheck on launch day,Visible ads and landing page,Spur Auto
Spur fact,Standard delivery is targeted within 48 hours,https://www.spurauto.com/terms.html,2026-07-18,Clock begins after all required documents and information are received; not an insurer-response promise,Visible ads only with page qualification,Spur Auto
Spur fact,Package-fee money-back guarantee,https://www.spurauto.com/terms.html,2026-07-18,Refund applies if Spur Auto appraisal does not support a higher value than the pre-appraisal insurer offer; no settlement increase promised,Visible ads only with linked exact terms,Spur Auto
Spur fact,Spur Auto is independent and does not negotiate with an insurer on a customer's behalf,https://www.spurauto.com/disclaimer.html,2026-07-18,Not a law firm or public insurance adjuster,Visible landing-page disclosure,Spur Auto
Spur constraint,Credentials and license numbers remain placeholders,/Users/macbookprom42025/Documents/crash-time/README.md,2026-07-18,Do not advertise licensed certified years of experience or case counts until verified,Internal creative prohibition,Spur Auto
Competitor observation,AutoACV advertises a free review a $199 report and a $199 plus 15% handling option,https://autoacv.com/pricing,2026-07-18,Competitor-controlled page can change; no visible comparative claim in Wave 1,Internal prioritization only,Ads owner
Competitor observation,TotalLoss.com advertises a free consultation and $399 appraisal-clause service,https://totalloss.com/,2026-07-18,Competitor-controlled page can change; no visible comparative claim in Wave 1,Internal prioritization only,Ads owner
Competitor observation,TotalLossAppraiser.net advertises a $550 flat fee and about two-week report timing,https://www.totallossappraiser.net/,2026-07-18,Competitor-controlled page can change; no visible comparative claim in Wave 1,Internal prioritization only,Ads owner
Competitor observation,Dallas Auto Appraisers advertises a DFW total-loss appraisal and direct insurer negotiation support,https://www.dallasautoappraisers.com/total-loss.html,2026-07-18,Competitor-controlled page; regulatory scope not independently assessed,Internal prioritization only,Ads owner
Competitor observation,Select Auto Appraisals advertises nationwide total-loss support and a money-back guarantee,https://www.selectautoappraisals.com/home,2026-07-18,Price not found on reviewed page; no visible comparative claim in Wave 1,Internal prioritization only,Ads owner
Competitor observation,Collision Claims Advisors offers total-loss appraisal services and also markets to attorneys adjusters and carriers,https://www.collisionclaimsadvisors.com/,2026-07-18,Mixed audience may reduce consumer query quality,Internal prioritization only,Ads owner
Policy fact,Google says it will not restrict trademarks used as keywords,https://support.google.com/adspolicy/answer/6118,2026-07-18,Platform policy is not legal clearance,Internal compliance boundary,Ads owner and counsel
Policy fact,Google says it will restrict a trademark used in an ad from a direct competitor,https://support.google.com/adspolicy/answer/6118,2026-07-18,Complaint and review context matters; build excludes competitor marks from visible ads,Creative prohibition,Ads owner and counsel
Measurement fact,Google migrated new offline and enhanced-conversions-for-leads upload workflows to Data Manager beginning 2026-06-15,https://support.google.com/google-ads/answer/11021502,2026-07-18,Implementation and legacy-access details can change; follow the current account workflow,Measurement specification,Ads owner
Legal fact,Federal law addresses likely confusion about affiliation sponsorship or approval and material misrepresentation,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title15-section1125,2026-07-15,Application to the campaign is a legal conclusion reserved for counsel,Internal compliance boundary,Counsel
Texas law fact,Texas Insurance Code Chapter 1813 applies to covered personal-auto policies delivered issued for delivery or renewed in Texas on or after 2026-01-01,https://statutes.capitol.texas.gov/Docs/IN/pdf/IN.1813.pdf,2026-07-18,Not every policy claim or procedure is identical; review actual policy,Educational use after counsel review,Counsel
Texas rule status,TDI proposed appraisal rules including procedures and deadlines in May 2026,https://www.sos.state.tx.us/texreg/archive/May82026/Proposed%20Rules/28.INSURANCE.html,2026-07-18,Final adoption was not verified through the current Texas Register; proposed deadlines must not be stated as final,Do not use in ads,Legal owner
Market context,TDI's 2024 data-call report states personal-auto appraisal awards averaged about $5300 more than insurer initial offers,https://www.tdi.texas.gov/reports/pc/documents/2024-appraisal-experience-data-call-report.pdf,2026-07-18,Aggregate insurer-reported appraisal data is not a Spur Auto result or a prediction; selection effects may apply,Internal market context only,Ads owner
